knap_id,method,item_count,price,elapsed_ms
9000,Recursive,4,473,0.002457
9000,BranchAndBound,4,473,0.001975
9000,Dynamic,4,473,0.005751
9000,FPTAS25,4,418,0.003486
9000,FPTAS50,4,446,0.000724
9000,FPTAS75,4,459,0.000683
9001,Recursive,4,326,0.001798
9001,BranchAndBound,4,326,0.00179
9001,Dynamic,4,326,0.004568
9001,FPTAS25,4,291,0.000596
9001,FPTAS50,4,305,0.000473
9001,FPTAS75,4,319,0.002341
9002,Recursive,4,196,0.001634
9002,BranchAndBound,4,196,0.001677
9002,Dynamic,4,196,0.000725
9002,FPTAS25,4,183,0.000429
9002,FPTAS50,4,196,0.000493
9002,FPTAS75,4,196,0.000674
9003,Recursive,4,545,0.00161
9003,BranchAndBound,4,545,0.001667
9003,Dynamic,4,545,0.001787
9003,FPTAS25,4,504,0.000498
9003,FPTAS50,4,532,0.000582
9003,FPTAS75,4,532,0.000517
9004,Recursive,4,243,0.001527
9004,BranchAndBound,4,243,0.001632
9004,Dynamic,4,243,0.000719
9004,FPTAS25,4,227,0.000428
9004,FPTAS50,4,243,0.00049
9004,FPTAS75,4,243,0.000517
9005,Recursive,4,563,0.001505
9005,BranchAndBound,4,563,0.001591
9005,Dynamic,4,563,0.000567
9005,FPTAS25,4,472,0.000495
9005,FPTAS50,4,517,0.000463
9005,FPTAS75,4,540,0.002413
9006,Recursive,4,410,0.001558
9006,BranchAndBound,4,410,0.001594
9006,Dynamic,4,410,0.000659
9006,FPTAS25,4,371,0.000484
9006,FPTAS50,4,371,0.00044
9006,FPTAS75,4,396,0.00047
9007,Recursive,4,375,0.001603
9007,BranchAndBound,4,375,0.001558
9007,Dynamic,4,375,0.002709
9007,FPTAS25,4,340,0.000454
9007,FPTAS50,4,353,0.000418
9007,FPTAS75,4,366,0.000593
9008,Recursive,4,235,0.00156
9008,BranchAndBound,4,235,0.001581
9008,Dynamic,4,235,0.00433
9008,FPTAS25,4,220,0.000474
9008,FPTAS50,4,235,0.000412
9008,FPTAS75,4,235,0.002245
9009,Recursive,4,224,0.00151
9009,BranchAndBound,4,224,0.001625
9009,Dynamic,4,224,0.000634
9009,FPTAS25,4,167,0.00046
